filename,lat,lon,altitude,roll,pitch,yaw
00001.png,50.61186192,7.22824472,402.955,-0.00738,0.00958,-0.07629
00002.png,50.61226313,7.22813803,402.507,0.0266,-0.00295,-0.0541
00003.png,50.61266619,7.22803591,401.484,-0.0005,-0.00114,-0.05069
00004.png,50.61307,7.22793353,400.262,-0.03096,0.01263,-0.05772
00005.png,50.61347357,7.22782839,399.131,-0.03498,0.01127,-0.06699
00006.png,50.6138766,7.22772007,398.037,-0.0248,0.0066,-0.05593
00007.png,50.61428035,7.22761213,396.747,0.01737,0.00846,-0.05959
00008.png,50.61468488,7.22750896,395.663,-0.02834,0.00945,-0.06894
00009.png,50.61508952,7.22740515,395.109,-0.0478,0.02664,-0.08083
00010.png,50.61549207,7.22729762,395.284,-0.02354,0.05164,-0.07518
00011.png,50.61589181,7.22719038,396.54,-0.03566,0.04809,-0.0924
00012.png,50.61628819,7.22708118,397.782,-0.04504,0.02565,-0.1015
00013.png,50.61668317,7.22696815,398.218,-0.0678,0.02766,-0.11173
00014.png,50.61707686,7.22684909,398.585,-0.0295,0.03908,-0.10866
00015.png,50.61746856,7.22672989,399.593,-0.02293,0.03713,-0.09277
00016.png,50.61785957,7.22661442,400.218,-0.0117,0.01775,-0.10272
00017.png,50.61825048,7.22650176,400.023,0.0067,0.01063,-0.11391
00018.png,50.61864194,7.22639087,399.88,0.01276,0.00298,-0.09669
00019.png,50.6190355,7.22628413,399.672,-0.00403,0.01207,-0.09999
00020.png,50.61942978,7.22617929,399.586,-0.01935,0.00925,-0.10067
00021.png,50.6198245,7.22607376,399.263,-0.03251,0.00172,-0.0999
00022.png,50.62023577,7.22596166,398.669,-0.03927,0.00439,-0.09606
00023.png,50.62063216,7.22585081,398.119,-0.03143,0.00914,-0.09772
00024.png,50.62102874,7.22573712,397.666,-0.03005,0.00634,-0.09415
00025.png,50.62142615,7.22562263,396.979,-0.01398,0.01193,-0.11375
00026.png,50.62182323,7.22550733,396.488,-0.01601,0.00645,-0.10311
00027.png,50.62222137,7.22539543,395.54,0.03297,0.00668,-0.11612
00028.png,50.62262026,7.22529016,395.096,-0.04134,0.01837,-0.12421
00029.png,50.62301797,7.22518098,394.661,-0.05093,0.01387,-0.10546
00030.png,50.62341642,7.225068,393.884,-0.0216,0.01285,-0.11899
00031.png,50.62381561,7.22495397,393.891,-0.00408,0.00848,-0.14004
